Time:              1500000, Phase:    0, Data_sin:  100
Time:              2500000, Phase:  256, Data_sin:  200
Time:              3500000, Phase:  512, Data_sin:  100
Time:              4500000, Phase:  768, Data_sin:    0
Time:              5500000, Phase:    0, Data_sin:  100
Time:              6500000, Phase:  256, Data_sin:  200
Time:              7500000, Phase:  512, Data_sin:  100
Time:              8500000, Phase:  768, Data_sin:    0
Time:              9500000, Phase:    0, Data_sin:  100
